Keyword,Monthly Search Vol,Competition (0-1),Trend %,Content Pillar,Maps To Product,Priority Tier,Score,Pinterest Clicks (proven)
canva branding kit,5400,0.08,61,Branding,Branding Kits,P1 - Build first,101.6,100
starting a business plan template,49500,0.01,47,Business Education,Courses + Ebooks,P1 - Build first,77.8,0
e commerce business plan,1900,0.03,59,Business Education,Courses + Ebooks,P1 - Build first,76.7,0
branding for business,4400,0.25,2,Branding,Branding Kits,P1 - Build first,74.6,0
free instagram post templates,390,0.21,25,Instagram,Instagram Templates,P1 - Build first,73.1,99
ecommerce business ideas,14800,0.11,-67,Ecommerce,Digital Products + Bundles,P1 - Build first,72.2,0
trending products to sell online,590,0.47,2,Ecommerce,Digital Products + Bundles,P1 - Build first,71.1,2987
website template for portfolio,22200,0.17,-6,Website Templates,Wix Templates (General),P1 - Build first,70.8,0
ecommerce business marketing,90,0.12,57,Ecommerce,Digital Products + Bundles,P2 - Build next,69.6,0
website template for ecommerce,18100,0.26,-16,Website Templates,Wix Templates (General),P2 - Build next,68.5,0
starting a business tips,1600,0.22,12,Business Education,Courses + Ebooks,P2 - Build next,68.3,0
website template for blogger,3600,0.17,-11,Website Templates,Wix Templates (General),P2 - Build next,67.8,0
website template for blog,3600,0.17,-11,Website Templates,Wix Templates (General),P2 - Build next,67.8,0
website template for photographer,720,0.39,23,Website Templates,Wix Templates (General),P2 - Build next,65.9,0
website template for photographers,720,0.39,23,Website Templates,Wix Templates (General),P2 - Build next,65.9,0
free instagram templates,720,0.2,-27,Instagram,Instagram Templates,P2 - Build next,65.7,0
how to start an ecommerce business,8100,0.4,-9,Ecommerce,Digital Products + Bundles,P2 - Build next,65.0,0
starting a business ideas,12100,0.15,-17,Business Education,Courses + Ebooks,P2 - Build next,64.2,0
website template for online store,1900,0.42,7,Website Templates,Wix Templates (General),P2 - Build next,64.0,0
online business ideas,33100,0.21,-20,Business Education,Courses + Ebooks,P2 - Build next,62.8,0
website template for restaurant,3600,0.29,6,General,Wix Templates (General),P2 - Build next,62.8,0
online business tips,320,0.16,2,Business Education,Courses + Ebooks,P2 - Build next,61.6,0
website template for school,2400,0.13,-5,General,Wix Templates (General),P2 - Build next,60.2,0
website template for education,2900,0.17,-4,General,Wix Templates (General),P2 - Build next,60.0,0
website template for hotel,1900,0.22,1,General,Wix Templates (General),P2 - Build next,60.0,0
starting a business,27100,0.36,-14,Business Education,Courses + Ebooks,P2 - Build next,59.0,0
online business,60500,0.4,-14,Business Education,Courses + Ebooks,P2 - Build next,58.0,0
digital products to sell online,720,0.44,1,Ecommerce,Digital Products + Bundles,P2 - Build next,57.7,0
website template for real estate,3600,0.3,-3,General,Wix Templates (General),P2 - Build next,57.5,0
how to grow business,1300,0.43,-25,Business Education,Courses + Ebooks,P2 - Build next,57.3,0
how to make instagram account look professional,10,0.3,-30,Instagram,Instagram Templates,P2 - Build next,56.9,847
website template for business,3600,0.36,-15,General,Wix Templates (General),P2 - Build next,56.0,0
website template for musician,1000,0.19,-1,Website Templates,Wix Templates (General),P2 - Build next,55.2,0
branding kit for small business,0,0.0,0,Branding,Branding Kits,P2 - Build next,55.0,100
canva branding kit for small business,0,0.0,0,Branding,Branding Kits,P2 - Build next,55.0,100
how to grow business online,590,0.42,-32,Business Education,Courses + Ebooks,P3 - Build later,54.4,0
website template for events,1000,0.27,-6,Website Templates,Wix Templates (General),P3 - Build later,53.2,0
website template for doctors,590,0.24,-2,General,Wix Templates (General),P3 - Build later,51.9,0
how to brand your small business,10,0.11,-40,Branding,Branding Kits,P3 - Build later,51.6,0
website template for construction company,2400,0.47,-8,General,Wix Templates (General),P3 - Build later,51.599999999999994,0
website template for interior design,1000,0.38,-17,Website Templates,Wix Templates (General),P3 - Build later,50.5,0
website template for law firm,77,0.0,0,General,Wix Templates (General),P3 - Build later,50.0,0
how to look professional on instagram,10,0.0,0,Instagram,Instagram Templates,P3 - Build later,49.4,0
website template for recruitment agency,320,0.28,-15,General,Wix Templates (General),P3 - Build later,48.6,0
website template for non profit organization,720,0.45,-23,General,Wix Templates (General),P3 - Build later,47.5,0
website template for event management,390,0.43,-4,General,Wix Templates (General),P3 - Build later,45.6,0
website template for creatives,0,0.0,0,Website Templates,Wix Templates (ST Niche),P3 - Build later,45.0,0
website template for service based,0,0.0,0,Website Templates,Wix Templates (ST Niche),P3 - Build later,45.0,0
website template for coaches,0,0.0,0,Website Templates,Wix Templates (ST Niche),P3 - Build later,45.0,0
instagram templates for small business,0,0.0,0,Instagram,Instagram Templates,P3 - Build later,45.0,0
website template for makeup artist,0,0.0,0,Website Templates,Wix Templates (ST Niche),P3 - Build later,45.0,0
website template for yoga,0,0.0,0,Website Templates,Wix Templates (ST Niche),P3 - Build later,45.0,0
website template for personal trainer,0,0.0,0,Website Templates,Wix Templates (ST Niche),P3 - Build later,45.0,0
website template for beauty salon,0,0.0,0,Website Templates,Wix Templates (ST Niche),P3 - Build later,45.0,0
website template for hair salon,0,0.0,0,Website Templates,Wix Templates (ST Niche),P3 - Build later,45.0,0
website template for digital products,0,0.0,0,Website Templates,Wix Templates (ST Niche),P3 - Build later,45.0,0
website template for services,0,0.0,0,Website Templates,Wix Templates (ST Niche),P3 - Build later,45.0,0
wix website template for coaches,0,0.0,0,Website Templates,Wix Templates (ST Niche),P3 - Build later,45.0,0
website template for therapists,0,0.0,0,Website Templates,Wix Templates (ST Niche),P3 - Build later,45.0,0
website template for service provider,0,0.0,0,Website Templates,Wix Templates (ST Niche),P3 - Build later,45.0,0
wix website for coaches,0,0.0,0,Website Templates,Wix Templates (ST Niche),P3 - Build later,45.0,0
small business branding ideas,170,0.82,-3,Branding,Branding Kits,P4 - Low priority,44.6,0
website template for digital marketing agency,30,0.59,-28,Website Templates,Wix Templates (ST Niche),P4 - Low priority,43.6,0
website template for selling products,110,0.34,-43,Website Templates,Wix Templates (General),P4 - Low priority,42.9,0
instagram templates for business,50,0.75,-47,Instagram,Instagram Templates,P4 - Low priority,41.6,0
ecommerce business aesthetic,0,0.0,0,Ecommerce,Digital Products + Bundles,P4 - Low priority,40.0,0
products to sell online for beginners,0,0.0,0,Ecommerce,Digital Products + Bundles,P4 - Low priority,40.0,0
website template for consulting company,170,0.55,-10,General,Wix Templates (General),P4 - Low priority,39.3,0
website template for travel agency,260,0.71,-22,General,Wix Templates (General),P4 - Low priority,37.0,0
how to grow small business on instagram,20,0.33,9,Business Education,Courses + Ebooks,P4 - Low priority,36.7,0
website template for event manager,0,0.0,0,General,Wix Templates (General),P4 - Low priority,33.0,0
website template for jewellery,0,0.0,0,General,Wix Templates (General),P4 - Low priority,33.0,0
website template for flower shop,0,0.0,0,General,Wix Templates (General),P4 - Low priority,33.0,0
website template for fashion designer,0,0.0,0,General,Wix Templates (General),P4 - Low priority,33.0,0
website template for logistics company,0,0.0,0,General,Wix Templates (General),P4 - Low priority,33.0,0
website template for rental property,0,0.0,0,General,Wix Templates (General),P4 - Low priority,33.0,0
website template for handyman,0,0.0,0,General,Wix Templates (General),P4 - Low priority,33.0,0
website template for holiday rental,0,0.0,0,General,Wix Templates (General),P4 - Low priority,33.0,0
website template for food delivery,0,0.0,0,General,Wix Templates (General),P4 - Low priority,33.0,0
website template for closing brand,0,0.0,0,General,Wix Templates (General),P4 - Low priority,33.0,0
website template for bakery,0,0.0,0,General,Wix Templates (General),P4 - Low priority,33.0,0
website template for tours and travels,0,0.0,0,General,Wix Templates (General),P4 - Low priority,33.0,0
website template for clothing store,0,0.0,0,General,Wix Templates (General),P4 - Low priority,33.0,0
website template for dental clinic,0,0.0,0,General,Wix Templates (General),P4 - Low priority,33.0,0
website template for videographer,0,0.0,0,General,Wix Templates (General),P4 - Low priority,33.0,0
website template for wedding,0,0.0,0,General,Wix Templates (General),P4 - Low priority,33.0,0
website template for tourism,0,0.0,0,General,Wix Templates (General),P4 - Low priority,33.0,0
website template for marketing agency,0,0.0,0,General,Wix Templates (General),P4 - Low priority,33.0,0
website template for cleaning services,10,0.43,-34,General,Wix Templates (General),P4 - Low priority,31.700000000000003,0
